query,status_code,response_time_ms
allComments,200,70.30892372131348
allComments,200,22.652864456176758
allComments,200,22.108078002929688
allComments,200,22.170066833496094
allComments,200,23.43297004699707
allComments,200,33.247947692871094
allComments,200,22.539854049682617
allComments,200,21.81720733642578
allComments,200,21.677255630493164
allComments,200,21.622657775878906
allComments,200,22.59516716003418
allComments,200,24.457931518554688
allComments,200,22.169113159179688
allComments,200,21.265268325805664
allComments,200,21.026134490966797
allComments,200,21.209001541137695
allComments,200,21.414995193481445
allComments,200,21.308183670043945
allComments,200,21.345138549804688
allComments,200,21.02494239807129
allComments,200,28.578758239746094
allComments,200,21.407127380371094
allComments,200,20.451784133911133
allComments,200,20.728111267089844
allComments,200,20.404815673828125
allComments,200,20.617961883544922
allComments,200,20.44987678527832
allComments,200,22.55702018737793
allComments,200,20.071983337402344
allComments,200,20.261049270629883
allComments,200,20.2178955078125
allComments,200,19.991159439086914
allComments,200,20.02882957458496
allComments,200,20.216941833496094
allComments,200,20.357131958007812
allComments,200,20.267009735107422
allComments,200,20.460844039916992
allComments,200,20.824193954467773
allComments,200,20.62702178955078
allComments,200,20.793914794921875
allComments,200,20.15209197998047
allComments,200,19.77086067199707
allComments,200,20.14303207397461
allComments,200,20.13111114501953
allComments,200,20.326852798461914
allComments,200,19.92487907409668
allComments,200,20.141124725341797
allComments,200,20.45297622680664
allComments,200,20.283222198486328
allComments,200,24.730920791625977
allComments,200,32.737016677856445
allComments,200,20.819902420043945
allComments,200,20.28799057006836
allComments,200,20.61295509338379
allComments,200,20.786046981811523
allComments,200,20.612239837646484
allComments,200,20.4160213470459
allComments,200,20.219802856445312
allComments,200,19.98305320739746
allComments,200,20.24388313293457
allComments,200,20.26820182800293
allComments,200,20.11895179748535
allComments,200,20.092010498046875
allComments,200,20.1261043548584
allComments,200,20.153284072875977
allComments,200,20.10178565979004
allComments,200,20.09296417236328
allComments,200,20.234107971191406
allComments,200,20.485877990722656
allComments,200,20.63894271850586
allComments,200,22.520065307617188
allComments,200,19.87481117248535
allComments,200,22.572040557861328
allComments,200,20.576953887939453
allComments,200,20.179033279418945
allComments,200,20.3249454498291
allComments,200,20.135879516601562
allComments,200,20.19214630126953
allComments,200,20.0498104095459
allComments,200,20.19190788269043
allComments,200,19.991159439086914
allComments,200,20.467042922973633
allComments,200,20.42698860168457
allComments,200,20.483970642089844
allComments,200,20.32780647277832
allComments,200,20.07007598876953
allComments,200,20.472288131713867
allComments,200,20.168066024780273
allComments,200,20.260095596313477
allComments,200,20.14899253845215
allComments,200,20.267009735107422
allComments,200,24.472951889038086
allComments,200,20.061016082763672
allComments,200,20.188093185424805
